,year,Concept,county,pda,Variable,value,source
25,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1799.0,baseyear B
26,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,996.0,baseyear B
27,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,419.0,baseyear B
28,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2221.0,baseyear A
29,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1874.0,baseyear A
30,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,968.0,baseyear A
31,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,474.0,baseyear A
32,2015,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2129.0,modeled
33,2015,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1756.0,modeled
34,2015,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,1055.0,modeled
35,2015,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,715.0,modeled
36,2030,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2620.0,modeled
37,2030,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1838.0,modeled
38,2030,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,1282.0,modeled
39,2030,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,1000.0,modeled
40,2035,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2319.0,modeled
41,2035,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1922.0,modeled
42,2035,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,1378.0,modeled
43,2035,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,1172.0,modeled
44,2040,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2129.0,modeled
45,2040,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq2,1909.0,modeled
46,2040,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq3,1431.0,modeled
47,2040,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq4,1360.0,modeled
48,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,768.0,baseyear B
49,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,718.0,baseyear B
50,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,606.0,baseyear B
51,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,266.0,baseyear B
52,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,788.0,baseyear A
53,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,770.0,baseyear A
54,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,531.0,baseyear A
55,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,285.0,baseyear A
56,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,853.0,modeled
57,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,735.0,modeled
58,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,531.0,modeled
59,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,340.0,modeled
60,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,1151.0,modeled
61,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,746.0,modeled
62,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,548.0,modeled
63,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,438.0,modeled
64,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,1022.0,modeled
65,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,790.0,modeled
66,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,575.0,modeled
67,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,498.0,modeled
68,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq1,1140.0,modeled
69,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq2,827.0,modeled
70,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq3,606.0,modeled
71,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Hesperian Boulevard,hhincq4,512.0,modeled
72,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,411.0,baseyear B
73,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,469.0,baseyear B
74,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,214.0,baseyear B
75,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,74.0,baseyear B
76,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,423.0,baseyear A
77,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,480.0,baseyear A
78,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,216.0,baseyear A
79,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,89.0,baseyear A
80,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,454.0,modeled
81,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,414.0,modeled
82,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,235.0,modeled
83,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,115.0,modeled
84,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,583.0,modeled
85,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,367.0,modeled
86,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,284.0,modeled
87,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,214.0,modeled
88,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,486.0,modeled
89,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,386.0,modeled
90,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,292.0,modeled
91,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,296.0,modeled
92,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq1,439.0,modeled
93,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq2,419.0,modeled
94,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq3,310.0,modeled
95,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Meekland Avenue Corridor,hhincq4,328.0,modeled
96,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,325.0,baseyear B
97,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,365.0,baseyear B
98,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,190.0,baseyear B
99,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,59.0,baseyear B
100,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,321.0,baseyear A
101,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,401.0,baseyear A
102,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,245.0,baseyear A
103,2010,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,131.0,baseyear A
104,2015,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,3343.0,modeled
105,2015,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,356.0,modeled
106,2015,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,282.0,modeled
107,2015,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,222.0,modeled
108,2030,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,1556.0,modeled
109,2030,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,983.0,modeled
110,2030,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,849.0,modeled
111,2030,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,839.0,modeled
112,2035,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,1208.0,modeled
113,2035,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,1110.0,modeled
114,2035,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,920.0,modeled
115,2035,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,968.0,modeled
116,2040,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq1,986.0,modeled
117,2040,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq2,1121.0,modeled
118,2040,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq3,949.0,modeled
119,2040,Househ. by Inc. Quartile,Alameda,Alameda-Naval Air Station,hhincq4,1119.0,modeled
120,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,278.0,baseyear B
121,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,236.0,baseyear B
122,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,188.0,baseyear B
123,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,139.0,baseyear B
124,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,640.0,baseyear A
125,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,233.0,baseyear A
126,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,174.0,baseyear A
127,2010,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,156.0,baseyear A
128,2015,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,561.0,modeled
129,2015,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,258.0,modeled
130,2015,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,205.0,modeled
131,2015,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,186.0,modeled
132,2030,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,416.0,modeled
133,2030,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,330.0,modeled
134,2030,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,254.0,modeled
135,2030,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,303.0,modeled
136,2035,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,334.0,modeled
137,2035,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,341.0,modeled
138,2035,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,282.0,modeled
139,2035,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,347.0,modeled
140,2040,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq1,302.0,modeled
141,2040,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq2,332.0,modeled
142,2040,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq3,287.0,modeled
143,2040,Househ. by Inc. Quartile,Alameda,Alameda-Northern Waterfront,hhincq4,385.0,modeled
144,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,88.0,baseyear B
145,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,79.0,baseyear B
146,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,84.0,baseyear B
147,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,65.0,baseyear B
148,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,90.0,baseyear A
149,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,84.0,baseyear A
150,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,71.0,baseyear A
151,2010,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,66.0,baseyear A
152,2015,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,101.0,modeled
153,2015,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,81.0,modeled
154,2015,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,70.0,modeled
155,2015,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,68.0,modeled
156,2030,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,167.0,modeled
157,2030,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,94.0,modeled
158,2030,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,68.0,modeled
159,2030,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,64.0,modeled
160,2035,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,169.0,modeled
161,2035,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,113.0,modeled
162,2035,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,68.0,modeled
163,2035,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,82.0,modeled
164,2040,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq1,172.0,modeled
165,2040,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq2,129.0,modeled
166,2040,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq3,80.0,modeled
167,2040,Househ. by Inc. Quartile,Alameda,Albany-San Pablo & Solano Mixed Use Neighborhood,hhincq4,85.0,modeled
168,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,162.0,baseyear B
169,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,102.0,baseyear B
170,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,51.0,baseyear B
171,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,34.0,baseyear B
172,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,145.0,baseyear A
173,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,119.0,baseyear A
174,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,45.0,baseyear A
175,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,38.0,baseyear A
176,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,131.0,modeled
177,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,110.0,modeled
178,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,59.0,modeled
179,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,46.0,modeled
180,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,555.0,modeled
181,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,227.0,modeled
182,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,183.0,modeled
183,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,166.0,modeled
184,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,414.0,modeled
185,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,278.0,modeled
186,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,224.0,modeled
187,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,205.0,modeled
188,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq1,333.0,modeled
189,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq2,302.0,modeled
190,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq3,243.0,modeled
191,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Adeline Street,hhincq4,243.0,modeled
192,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,1369.0,baseyear B
193,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,480.0,baseyear B
194,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,219.0,baseyear B
195,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,91.0,baseyear B
196,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,1973.0,baseyear A
197,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,589.0,baseyear A
198,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,283.0,baseyear A
199,2010,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,124.0,baseyear A
200,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,2181.0,modeled
201,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,663.0,modeled
202,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,409.0,modeled
203,2015,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,319.0,modeled
204,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,2613.0,modeled
205,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,965.0,modeled
206,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,889.0,modeled
207,2030,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,1144.0,modeled
208,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,2062.0,modeled
209,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,1138.0,modeled
210,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,1078.0,modeled
211,2035,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,1391.0,modeled
212,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq1,1931.0,modeled
213,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq2,1178.0,modeled
214,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq3,1177.0,modeled
215,2040,Househ. by Inc. Quartile,Alameda,Berkeley-Downtown,hhincq4,1680.0,modeled
216,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,118.0,baseyear B
217,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,82.0,baseyear B
218,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,51.0,baseyear B
219,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,18.0,baseyear B
220,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,171.0,baseyear A
221,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,86.0,baseyear A
222,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,41.0,baseyear A
223,2010,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,31.0,baseyear A
224,2015,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,370.0,modeled
225,2015,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,81.0,modeled
226,2015,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,51.0,modeled
227,2015,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,43.0,modeled
228,2030,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,409.0,modeled
229,2030,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,153.0,modeled
230,2030,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,111.0,modeled
231,2030,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,106.0,modeled
232,2035,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,437.0,modeled
233,2035,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,177.0,modeled
234,2035,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,121.0,modeled
235,2035,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,128.0,modeled
236,2040,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq1,535.0,modeled
237,2040,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq2,197.0,modeled
238,2040,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq3,129.0,modeled
239,2040,Househ. by Inc. Quartile,Alameda,Berkeley-San Pablo Avenue,hhincq4,152.0,modeled
240,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq1,9.0,baseyear B
241,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq2,9.0,baseyear B
242,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq3,2.0,baseyear B
243,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq4,1.0,baseyear B
244,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq1,165.0,baseyear A
245,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq2,9.0,baseyear A
246,2010,Househ. by Inc. Quartile,Alameda,Berkeley-South Shattuck,hhincq3,1.0,baseyear A
