,year,Concept,county,pda,Variable,value,source
0,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,389.0,baseyear B
1,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,387.0,baseyear B
2,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,272.0,baseyear B
3,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,144.0,baseyear B
4,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,407.0,baseyear A
5,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,383.0,baseyear A
6,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,251.0,baseyear A
7,2010,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,168.0,baseyear A
8,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,396.0,modeled
9,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,354.0,modeled
10,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,253.0,modeled
11,2015,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,225.0,modeled
12,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,742.0,modeled
13,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,404.0,modeled
14,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,295.0,modeled
15,2030,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,242.0,modeled
16,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,606.0,modeled
17,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,425.0,modeled
18,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,334.0,modeled
19,2035,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,308.0,modeled
20,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq1,559.0,modeled
21,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq2,433.0,modeled
22,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq3,357.0,modeled
23,2040,Househ. by Inc. Quartile,Alameda,Alameda County-Castro Valley Bay Area Rapid Transit,hhincq4,342.0,modeled
24,2010,Househ. by Inc. Quartile,Alameda,Alameda County-East 14th Street and Mission Boulevard,hhincq1,2178.0,baseyear B
